Year,Country,size
1924,Austria,1
1924,United States,1
1928,Austria,1
1928,Norway,1
1928,United States,1
1932,Austria,1
1932,Norway,1
1932,United States,1
1936,Germany,2
1936,Norway,2
1936,Sweden,1
1948,Austria,6
1948,Canada,1
1948,Switzerland,2
1948,United States,2
1952,Austria,2
1952,Finland,3
1952,France,1
1952,Germany,4
1952,Italy,1
1952,United States,3
1956,Austria,4
1956,Canada,1
1956,Finland,1
1956,Soviet Union,4
1956,Sweden,2
1956,Switzerland,3
1956,United States,2
1960,Austria,1
1960,Canada,1
1960,Finland,2
1960,Italy,1
1960,Netherlands,1
1960,Soviet Union,10
1960,Sweden,1
1960,Switzerland,1
1960,United States,6
1964,Austria,5
1964,Canada,1
1964,Finland,4
1964,France,4
1964,Netherlands,1
1964,Soviet Union,15
1964,Sweden,1
1964,United States,2
1968,Austria,2
1968,Canada,2
1968,East Germany,1
1968,Finland,2
1968,France,4
1968,Italy,1
1968,Netherlands,5
1968,Norway,3
1968,Soviet Union,5
1968,Sweden,3
1968,Switzerland,1
1968,United States,5
1972,Austria,4
1972,Canada,1
1972,East Germany,3
1972,Finland,3
1972,France,2
1972,Netherlands,5
1972,Norway,1
1972,Soviet Union,6
1972,Switzerland,2
1972,United States,7
1976,Austria,1
1976,Canada,2
1976,East Germany,5
1976,Finland,3
1976,France,1
1976,Italy,1
1976,Netherlands,1
1976,Norway,1
1976,Soviet Union,10
1976,United States,6
1980,Austria,1
1980,East Germany,8
1980,Finland,3
1980,France,1
1980,Netherlands,2
1980,Norway,2
1980,Soviet Union,6
1980,Switzerland,2
1980,United States,4
1984,East Germany,13
1984,Finland,4
1984,France,2
1984,Italy,1
1984,Norway,4
1984,Soviet Union,6
1984,Switzerland,2
1984,United States,3
1988,Austria,2
1988,Canada,3
1988,East Germany,14
1988,Finland,3
1988,Netherlands,3
1988,Norway,1
1988,Soviet Union,8
1988,Switzerland,7
1988,United States,3
1992,Austria,8
1992,Canada,3
1992,China,3
1992,Finland,2
1992,France,3
1992,Germany,14
1992,Italy,4
1992,Norway,2
1992,Sweden,1
1992,United States,9
1994,Austria,4
1994,Canada,5
1994,China,3
1994,Finland,2
1994,France,2
1994,Germany,11
1994,Italy,10
1994,Norway,4
1994,Russia,10
1994,Sweden,2
1994,Switzerland,3
1994,United States,9
1998,Austria,5
1998,Canada,7
1998,China,5
1998,Finland,1
1998,France,2
1998,Germany,21
1998,Italy,4
1998,Netherlands,2
1998,Norway,6
1998,Russia,10
1998,Sweden,2
1998,Switzerland,1
1998,United States,8
2002,Austria,2
2002,Canada,9
2002,China,5
2002,France,5
2002,Germany,21
2002,Italy,8
2002,Netherlands,2
2002,Norway,7
2002,Russia,6
2002,Sweden,5
2002,Switzerland,4
2002,United States,11
2006,Austria,6
2006,Canada,16
2006,China,7
2006,Finland,2
2006,France,3
2006,Germany,16
2006,Italy,3
2006,Netherlands,4
2006,Norway,4
2006,Russia,11
2006,Sweden,9
2006,Switzerland,6
2006,United States,8
